"","litigation_g","litigationr","ideology_lr","gender"
"1","2","0",2,"Female"
"2","1","0",7,"Female"
"3","1","0",7,"Female"
"4","2","0",7,"Female"
"5","1","0",3,"Female"
"6","1","1",8,"Female"
"7","1","1",4,"Female"
"8","1","0",6,"Male"
"9","1","0",8,"Female"
"10","2","0",6,"Male"
"11","2","0",4,"Female"
"12","2","1",3,"Male"
"13","NA",NA,5,"Female"
"14","2","0",0,"Female"
"15","2","0",5,"Female"
"16","2","1",7,"Male"
"17","2","0",4,"Female"
"18","1","0",8,"Female"
"19","1","0",5,NA
"20","2","0",5,"Male"
"21","1","0",NA,"Male"
"22","1","0",4,"Female"
"23","1","1",5,"Female"
"24","1","0",7,"Female"
"25","2","0",1,"Female"
"26","2","0",3,"Female"
"27","1","0",6,"Female"
"28","1","0",7,"Male"
"29","1","0",7,"Male"
"30","2","0",3,"Female"
"31","1","0",4,"Male"
"32","2","0",4,"Female"
"33","2","0",3,"Female"
"34","2","0",4,"Female"
"35","2","0",7,"Female"
"36","1","0",4,"Female"
"37","2","0",5,"Male"
"38","1","0",5,"Female"
"39","1","0",3,"Male"
"40","2","0",6,"Female"
"41","1","0",6,"Female"
"42","2","1",6,"Male"
"43","2","0",2,"Female"
"44","2","1",3,"Female"
"45","2","1",6,"Male"
"46","1","0",5,"Female"
"47","1","0",6,"Female"
"48","1","0",6,"Female"
"49","1","1",8,"Female"
"50","2","1",7,"Male"
"51","2","1",5,"Female"
"52","1","0",3,"Male"
"53","1","0",8,"Female"
"54","1","1",3,"Female"
"55","2","0",4,"Female"
"56","1","0",4,"Female"
"57","2","0",7,"Male"
"58","2","0",3,"Female"
"59","2","0",6,"Male"
"60","1","0",7,"Female"
"61","2","1",3,"Female"
"62","2","0",2,"Female"
"63","1","0",4,"Female"
"64","1","0",5,"Female"
"65","1","1",3,"Male"
"66","2","0",4,"Male"
"67","1","1",4,"Female"
"68","2","0",3,"Female"
"69","2","1",4,"Female"
"70","2","0",6,"Male"
"71","2","1",2,"Male"
"72","2","0",7,"Female"
"73","1","1",8,"Male"
"74","1","0",3,"Female"
"75","2","0",5,"Female"
"76","1","1",3,"Female"
"77","2","0",7,"Female"
"78","2","1",2,"Female"
"79","1","1",5,"Female"
"80","2","1",4,"Female"
"81","1","0",6,"Male"
"82","2","1",6,"Male"
"83","1","0",2,"Female"
"84","1","0",2,"Female"
"85","1","0",NA,"Male"
"86","1","1",NA,"Male"
"87","1","0",4,"Female"
"88","1","1",4,"Female"
"89","1","1",7,"Female"
"90","1","0",0,"Other"
"91","2","0",2,"Female"
"92","2","1",5,"Female"
"93","2","1",4,"Female"
"94","1","0",7,"Female"
"95","2","1",3,"Female"
"96","1","0",3,"Female"
"97","2","0",4,"Female"
"98","2","1",4,"Male"
"99","2","1",3,"Female"
"100","1","0",5,"Female"
"101","2","1",5,"Male"
"102","2","1",3,"Female"
"103","1","1",6,"Female"
